1,70062
2,62263
3,71443
4,72742
5,68418
6,71733
7,63298
8,68840
9,68986
10,65736
11,66022
12,74059
13,74403
14,74022
15,72747
16,74151
17,67256
18,70754
19,73445
20,80571
21,75056
22,76354
23,77645
24,73055
25,75930
26,78080
27,81428
28,81872
29,79171
30,87762
31,80029
32,78332
33,79375
34,78883
35,82097
36,82321
37,80684
38,84290
39,86593
40,88120
41,83041
42,81634
43,83416
44,80496
45,87048
46,83639
47,85401
48,81579
49,86697
50,82588
51,86717
52,88015
53,81365
54,85154
55,82931
56,84394
57,80569
58,85817
59,83106
60,86685
61,81349
62,84779
63,81715
64,83489
65,81245
66,86169
67,83474
68,84600
69,82358
70,79507
71,81150
72,76121
73,73706
74,80923
75,77628
76,80409
77,77830
78,75332
79,76051
80,77774
81,73539
82,74346
83,74401
84,82006
85,71789
86,72315
87,74286
88,71747
89,73416
90,70163
91,76270
92,78013
93,71559
94,74530
95,77999
96,74115
97,81234
98,75843
99,82674
100,77727
101,75003
102,70237
103,74550
104,76180
105,72164
106,78419
107,74321
108,76675
109,71414
110,73406
111,77034
112,72090
113,76359
114,70871
115,71780
116,68785
117,69376
118,71823
119,72852
120,73873
121,66051
122,70945
123,59614
124,66474
125,65644
126,64791
127,67597
128,65824
129,69792
130,62174
131,61972
132,62722
133,65999
134,60868
135,63807
136,60685
137,63217
138,59298
139,63559
140,64921
141,60969
142,60835
143,64656
144,62179
145,59740
146,59585
147,59510
148,59147
149,60186
150,58028
151,60003
152,59741
153,51554
154,59847
155,62324
156,55077
157,57140
158,55828
159,58357
160,59366
161,58460
162,55741
163,60908
164,63721
165,57399
166,60884
167,66111
168,63264
169,59165
170,65609
171,62976
172,59790
173,63533
174,63847
175,64037
176,65321
177,65842
178,64054
179,64090
180,65698
181,66715
182,71856
183,64786
184,69550
185,74225
186,72219
187,77935
188,72285
189,72037
190,80268
191,73055
192,75367
193,70623
194,79867
195,74992
196,70310
197,72359
198,68359
199,73519
200,69506
201,63545
202,75822
203,69498
204,69777
205,77365
206,73096
207,72256
208,74785
209,79659
210,79149
211,77360
212,74613
213,78408
214,76334
215,75537
216,72338
217,70156
218,78623
219,77491
220,73754
221,72306
222,71161
223,76957
224,78091
225,72374
226,71962
227,73253
228,71920
229,75649
230,77998
231,67565
232,66914
233,70431
234,73783
235,74071
236,66749
237,70459
238,69966
239,68431
240,66984
241,65385
242,63240
243,72898
244,68350
245,69322
246,64287
247,64158
248,64403
249,61807
250,60339
251,56956
252,58253
253,55290
254,55558
255,57925
256,53169
257,53349
258,53988
259,53912
260,50397
261,51244
262,53067
263,52380
264,49785
265,43604
266,52014
267,44963
268,45122
269,47236
270,51711
271,50908
272,50178
273,48745
274,50303
275,43043
276,49198
277,43536
278,49910
279,46980
280,51163
281,46492
282,47626
283,52249
284,50400
285,48317
286,48423
287,46829
288,51042
289,44394
290,49106
291,51234
292,50068
293,49356
294,55647
295,50020
296,52699
297,56822
298,55356
299,50901
300,48799
301,54322
302,49923
303,52317
304,52277
