1,74578
2,64505
3,69848
1,65507
2,61404
3,70742
4,67962
5,71032
1,65281
2,62611
3,66285
4,70382
5,70896
6,72811
7,67572
8,65289
9,72426
10,68287
11,72323
12,73279
13,66249
14,67017
15,67556
16,70863
17,69397
18,69711
19,69361
20,75098
21,75161
22,70721
23,72128
24,71904
25,75778
26,76922
27,73390
28,74970
29,78816
30,76425
31,77935
32,76760
33,74289
34,76556
35,74870
36,72527
37,73008
38,71416
39,71253
40,72281
41,77004
42,74923
43,71583
44,69209
45,76937
46,73075
47,70693
48,70829
49,70842
50,69331
51,72435
52,69304
53,73185
54,72861
55,71330
56,68716
57,70698
58,69078
59,66804
60,72357
61,71988
62,72274
63,67210
64,70203
65,68670
66,73468
67,71452
68,73134
69,64806
70,68864
71,71613
72,68896
73,66216
74,66907
75,69861
76,65435
77,67156
78,72979
79,67408
80,69587
81,67644
82,66939
83,67071
84,70045
85,64498
86,68404
87,66436
88,68692
89,68747
90,69404
91,67883
92,67668
93,70393
94,69575
95,67516
96,71433
97,68739
98,72027
99,71384
100,68036
101,69776
102,71626
103,70457
104,63993
105,65699
106,67966
107,68198
108,69896
109,67677
110,71614
111,71968
112,67169
113,70551
114,67432
115,63662
116,66184
117,69343
118,65804
119,73315
120,72135
121,68322
122,67599
123,73765
124,66695
125,67790
126,66901
127,72439
128,70668
129,65299
130,66360
131,67258
132,70981
133,72453
134,70557
135,73127
136,70188
137,71546
138,73998
139,71590
140,77017
141,68876
142,76046
143,76784
144,67711
145,74348
146,67393
147,67449
148,64177
149,67354
150,68181
151,68833
152,69108
153,70546
154,70780
155,65242
156,68837
157,72567
158,71149
159,70300
160,66590
161,68065
162,69898
163,71218
164,70884
165,67748
166,67982
167,65660
168,68304
169,78233
170,69121
171,74605
172,72682
173,72463
174,67704
175,74355
176,70147
177,72690
178,72948
179,68675
180,73230
181,73661
182,69844
183,73120
184,76528
185,68365
186,75871
187,79106
188,68709
189,72220
190,69690
191,69934
192,73852
193,71545
194,72797
195,73511
196,73459
197,72616
198,70729
199,75042
200,75022
201,77062
202,72024
203,69337
204,68964
205,69916
206,67503
207,68932
208,71608
209,68834
210,71191
211,67742
212,72133
213,75353
214,67298
215,71413
216,72468
217,73158
218,77909
219,72873
220,72452
221,70105
222,76991
223,72091
224,74710
225,71201
226,76801
227,73289
228,71665
229,70596
230,74753
231,74806
232,73120
233,75537
234,75532
235,75434
236,78325
237,74011
238,75645
239,73460
240,72399
241,77471
242,73941
243,74735
244,72873
245,75168
246,73046
247,69160
248,68847
249,69994
250,66524
251,70568
252,66113
253,66992
254,72775
255,69614
256,68602
257,70375
258,67828
259,70152
260,65609
261,70361
262,69556
263,72372
264,73042
265,67320
266,74749
267,68751
268,73154
269,74279
270,73178
271,75414
272,74783
273,73903
274,71198
275,74632
276,69707
277,74203
278,68891
279,73335
280,70508
281,66089
282,66474
283,72654
284,69758
285,73693
286,74292
287,65422
288,62609
289,70685
290,68797
291,68861
292,70981
293,71503
294,65846
295,68220
296,70065
297,70351
298,64249
299,67055
300,69289
301,65653
302,63930
303,62540
304,68634
305,64639
306,70096
307,65341
308,62152
309,65782
310,69474
311,64754
312,66865
313,66759
314,64408
315,66575
316,69156
317,72113
318,67227
319,70119
320,62305
321,69121
322,65727
323,65404
324,69730
325,67334
326,72695
327,70485
328,68323
329,67733
330,68158
331,69128
332,72089
333,67529
334,66869
335,65789
336,70829
337,69420
338,67547
339,67101
340,69350
341,70166
342,68347
343,65511
344,72804
345,74596
346,69370
347,68722
348,72132
349,74577
350,75411
351,73453
352,71330
353,71712
354,72251
355,75426
356,67467
357,72909
358,73850
359,71971
360,75832
361,68113
362,75580
363,74646
364,74623
365,72510
366,71847
367,74811
368,68449
369,72206
370,71774
371,71613
372,68616
373,71144
374,68158
375,70355
376,71498
377,73002
378,67979
379,73604
380,70764
381,75571
382,70467
383,68781
384,68768
385,69528
386,76417
387,71915
388,76567
389,76114
390,79252
391,70178
392,78354
393,78542
394,77122
395,76148
396,69616
397,80086
398,77852
399,79129
400,74716
401,74306
402,79060
403,77173
404,76460
405,87156
406,74124
407,79149
408,81002
409,81753
410,75456
411,76321
412,73974
413,78148
414,79663
415,78073
416,82455
417,83962
418,76528
419,82421
420,83432
421,77202
422,75774
423,82471
424,76990
425,87719
426,78509
427,85613
428,81175
429,82035
430,81315
431,84259
432,79702
433,80204
434,77547
435,85839
436,79575
437,81438
438,80769
439,76336
440,84190
441,83605
442,80521
443,80466
444,83227
445,79194
446,82271
447,77601
448,79504
449,80228
450,81850
451,87719
452,79494
453,81037
454,80925
455,80539
456,76668
457,79960
458,79168
459,77768
460,79143
461,75660
462,75035
463,76329
464,77419
465,74691
466,77908
467,75619
468,78349
469,75083
470,76838
471,78516
472,70566
473,77047
474,76295
475,79446
476,79692
477,77827
478,78583
479,79372
480,75171
481,74024
482,76763
483,73909
484,70901
485,70068
486,73311
487,69930
488,71674
489,67603
490,70339
491,68593
492,72432
493,71801
494,65562
495,71773
496,73058
497,70146
498,67207
499,73080
500,73879
501,75148
502,70962
503,69292
504,67691
505,70442
506,70507
507,71844
508,69980
509,71929
510,66015
511,71354
512,72193
513,74254
514,69685
515,73575
516,71031
517,63107
518,70443
519,72961
520,68730
521,69037
522,69871
523,68094
524,69315
525,69140
526,72577
527,71481
528,70436
529,70912
530,67508
531,66657
532,69004
533,69763
534,69437
535,64603
536,70386
537,69951
538,72319
539,70245
540,67875
541,64569
542,65213
543,63024
544,68810
545,71196
546,63416
547,63669
548,64448
549,65690
550,65819
551,68557
552,68033
553,62400
554,63037
555,63936
556,68460
557,65012
558,66936
559,64802
560,68268
561,66116
562,66773
563,64823
564,65225
565,69249
566,66020
567,67358
568,65663
569,62370
570,63702
571,64300
572,64258
573,66865
574,63227
575,65697
576,66693
577,63802
578,64850
579,64355
580,63817
581,64799
582,64860
583,67412
584,59836
585,64717
586,63239
587,67363
588,67001
589,65423
590,64104
591,64521
592,68223
593,64838
594,64170
595,65928
596,65000
597,60043
598,67537
599,65693
600,66837
601,67191
602,67639
603,66695
604,70852
605,72366
606,66032
607,70012
608,67663
609,67217
610,63425
611,65072
612,67366
613,66801
614,66813
615,62405
616,67635
617,69260
618,67544
619,59621
620,66186
621,65492
622,65985
623,68253
624,68233
625,64181
626,64743
627,63126
628,68344
629,66375
630,65470
631,67582
632,66518
633,67974
634,68813
635,61229
636,62915
637,68851
638,69318
639,62859
640,64503
641,66927
642,62738
643,64716
644,63387
645,60867
646,64382
647,62170
648,66496
649,61962
650,62449
651,65378
652,67760
653,68122
654,65190
655,64689
656,63901
657,65157
658,65236
659,60150
660,63955
661,61755
662,63886
663,62313
664,63471
665,63597
666,57346
667,67588
668,61658
669,64206
670,62249
671,59291
672,64506
673,70422
674,62341
675,63987
676,63419
677,62036
678,64238
679,63042
680,63583
681,67016
682,63749
683,69053
684,61673
685,62854
686,60009
687,60231
688,64522
689,62202
690,65068
691,69507
692,68181
693,64734
694,65504
695,63649
696,63894
697,60963
698,66329
699,67571
700,62371
701,64519
702,67085
703,64981
704,62221
705,60176
706,67034
707,67509
708,63015
709,65337
710,63131
711,64391
712,58653
713,61937
714,63719
715,61208
716,64385
717,58971
718,58554
719,60474
720,58501
721,67438
722,62008
723,61523
724,61939
725,64500
726,60114
727,61458
728,63439
729,61750
730,58994
731,65279
732,61286
733,62699
734,63479
735,65900
736,58926
737,61764
738,66178
739,65115
740,58112
741,59730
742,64221
743,66160
744,62079
745,67092
746,60062
747,63221
748,61074
749,66419
750,65525
751,60592
752,64054
753,66558
754,68386
755,59932
756,62856
757,64588
758,63264
759,62188
760,64630
761,67042
762,67487
763,61790
764,64621
765,62422
766,67260
767,67476
768,63206
769,67997
770,60246
771,68722
772,68322
773,61740
774,65623
775,62097
776,66108
777,65516
778,68633
779,67856
780,69418
781,69059
782,66939
783,67314
784,69565
785,70264
786,68476
787,66634
788,68066
789,66896
790,71282
791,69400
792,69809
793,65853
794,66910
795,61039
796,67872
797,64365
798,66415
799,66840
800,65634
801,63727
802,68298
803,69379
804,70396
805,64463
806,71675
807,64495
808,65860
809,64486
810,66809
811,66344
812,65249
813,63925
814,66316
815,68981
816,67267
817,67374
818,63690
819,66658
820,66689
821,64250
822,67857
823,64468
824,67320
825,63816
826,67952
827,66409
828,64549
829,66246
830,69583
831,60654
832,58986
833,63034
834,71075
835,71225
836,57970
837,67833
838,64673
839,61520
840,68583
841,65599
842,61704
843,68020
844,57049
845,66289
846,64078
847,63088
848,60010
849,62396
850,67509
851,59215
852,60887
853,64135
854,56509
855,61052
856,61269
857,59477
858,60667
859,62819
860,63875
861,59065
862,58205
863,65407
864,61599
865,59879
866,61428
867,63207
868,58588
869,58963
870,57470
871,60348
872,54896
873,57648
874,62183
875,62050
876,62283
877,60244
878,60844
879,64005
880,61372
881,68074
882,61575
883,57226
884,62015
885,60045
886,61784
887,65667
888,60484
889,61678
890,60538
891,62462
892,58468
893,58381
894,58177
895,60020
896,59579
897,65399
898,58572
899,60582
900,64534
