variant,DDT,M,S,run,seed,total_tardiness,decision_time_ms_mean
nr,1.0,15,5,23,23,477996.0,0.5296
nr,1.0,15,5,24,24,502594.0,0.5352
nr,1.0,15,5,25,25,485038.0,0.5351
nr,1.0,15,5,26,26,487343.0,0.54
nr,1.0,15,5,27,27,490916.0,0.5489
nr,1.0,15,5,28,28,490174.0,0.5514
nr,1.0,15,5,29,29,492494.0,0.548
nr,1.0,20,1,0,0,3942.0,0.4612
nr,1.0,20,1,1,1,3756.0,0.4623
nr,1.0,20,1,2,2,4156.0,0.4591
nr,1.0,20,1,3,3,3828.0,0.4581
nr,1.0,20,1,4,4,4123.0,0.4634
nr,1.0,20,1,5,5,3578.0,0.4499
nr,1.0,20,1,6,6,4077.0,0.4656
nr,1.0,20,1,7,7,3949.0,0.4474
nr,1.0,20,1,8,8,3754.0,0.4597
nr,1.0,20,1,9,9,3809.0,0.4614
nr,1.0,20,1,10,10,4465.0,0.4542
nr,1.0,20,1,11,11,4054.0,0.4502
nr,1.0,20,1,12,12,3900.0,0.4583
nr,1.0,20,1,13,13,3837.0,0.4589
nr,1.0,20,1,14,14,3946.0,0.462
nr,1.0,20,1,15,15,4111.0,0.4567
nr,1.0,20,1,16,16,4209.0,0.4501
nr,1.0,20,1,17,17,4019.0,0.4668
nr,1.0,20,1,18,18,3926.0,0.4621
nr,1.0,20,1,19,19,3975.0,0.4583
nr,1.0,20,1,20,20,3514.0,0.4504
nr,1.0,20,1,21,21,4439.0,0.461
nr,1.0,20,1,22,22,3947.0,0.4562
nr,1.0,20,1,23,23,4192.0,0.4539
nr,1.0,20,1,24,24,4087.0,0.4593
nr,1.0,20,1,25,25,3840.0,0.4604
nr,1.0,20,1,26,26,4105.0,0.4536
nr,1.0,20,1,27,27,3913.0,0.4655
nr,1.0,20,1,28,28,3942.0,0.4569
nr,1.0,20,1,29,29,4152.0,0.4587
nr,1.0,20,3,0,0,4263.0,0.4183
nr,1.0,20,3,1,1,4532.0,0.4127
nr,1.0,20,3,2,2,3869.0,0.4188
nr,1.0,20,3,3,3,4145.0,0.4142
nr,1.0,20,3,4,4,4771.0,0.4189
nr,1.0,20,3,5,5,4588.0,0.4205
nr,1.0,20,3,6,6,4138.0,0.4164
nr,1.0,20,3,7,7,4598.0,0.4126
nr,1.0,20,3,8,8,4276.0,0.4195
nr,1.0,20,3,9,9,4522.0,0.4121
nr,1.0,20,3,10,10,4497.0,0.4147
nr,1.0,20,3,11,11,4641.0,0.4165
nr,1.0,20,3,12,12,3615.0,0.4135
nr,1.0,20,3,13,13,4022.0,0.4171
nr,1.0,20,3,14,14,4483.0,0.4161
nr,1.0,20,3,15,15,4309.0,0.4124
nr,1.0,20,3,16,16,4988.0,0.4142
nr,1.0,20,3,17,17,4346.0,0.4123
nr,1.0,20,3,18,18,4043.0,0.41
nr,1.0,20,3,19,19,4850.0,0.4189
nr,1.0,20,3,20,20,4093.0,0.4127
nr,1.0,20,3,21,21,4284.0,0.4106
nr,1.0,20,3,22,22,3924.0,0.4117
nr,1.0,20,3,23,23,4093.0,0.4102
nr,1.0,20,3,24,24,4564.0,0.4113
nr,1.0,20,3,25,25,4610.0,0.4194
nr,1.0,20,3,26,26,4453.0,0.4108
nr,1.0,20,3,27,27,4740.0,0.4192
nr,1.0,20,3,28,28,4187.0,0.4199
nr,1.0,20,3,29,29,3866.0,0.4191
nr,1.0,20,5,0,0,239413.0,0.5263
nr,1.0,20,5,1,1,242629.0,0.5263
nr,1.0,20,5,2,2,238723.0,0.5139
nr,1.0,20,5,3,3,231539.0,0.5113
nr,1.0,20,5,4,4,246533.0,0.5143
nr,1.0,20,5,5,5,238798.0,0.5131
nr,1.0,20,5,6,6,241800.0,0.5169
nr,1.0,20,5,7,7,245909.0,0.5151
nr,1.0,20,5,8,8,241090.0,0.5221
nr,1.0,20,5,9,9,242270.0,0.5247
nr,1.0,20,5,10,10,231796.0,0.5287
nr,1.0,20,5,11,11,237632.0,0.5304
nr,1.0,20,5,12,12,234748.0,0.5327
nr,1.0,20,5,13,13,249495.0,0.5327
nr,1.0,20,5,14,14,242681.0,0.53
nr,1.0,20,5,15,15,240806.0,0.5256
nr,1.0,20,5,16,16,238692.0,0.5276
nr,1.0,20,5,17,17,244210.0,0.5189
nr,1.0,20,5,18,18,238561.0,0.5184
nr,1.0,20,5,19,19,243614.0,0.5183
nr,1.0,20,5,20,20,237236.0,0.5197
nr,1.0,20,5,21,21,238581.0,0.51
nr,1.0,20,5,22,22,241638.0,0.5109
nr,1.0,20,5,23,23,242919.0,0.5115
nr,1.0,20,5,24,24,239800.0,0.5115
nr,1.0,20,5,25,25,243768.0,0.5173
nr,1.0,20,5,26,26,236826.0,0.5179
nr,1.0,20,5,27,27,250940.0,0.5207
nr,1.0,20,5,28,28,235277.0,0.5266
nr,1.0,20,5,29,29,243855.0,0.5279
nr,1.5,10,1,0,0,4995.0,0.5106
nr,1.5,10,1,1,1,5482.0,0.5084
nr,1.5,10,1,2,2,4717.0,0.5073
nr,1.5,10,1,3,3,5577.0,0.5057
nr,1.5,10,1,4,4,5009.0,0.5086
nr,1.5,10,1,5,5,6092.0,0.5048
nr,1.5,10,1,6,6,5302.0,0.5134
nr,1.5,10,1,7,7,5071.0,0.5003
nr,1.5,10,1,8,8,4981.0,0.5036
nr,1.5,10,1,9,9,5553.0,0.5067
nr,1.5,10,1,10,10,4562.0,0.5068
nr,1.5,10,1,11,11,5011.0,0.503
nr,1.5,10,1,12,12,4779.0,0.4936
nr,1.5,10,1,13,13,5328.0,0.5062
nr,1.5,10,1,14,14,4513.0,0.5029
nr,1.5,10,1,15,15,4313.0,0.5031
nr,1.5,10,1,16,16,4974.0,0.5078
nr,1.5,10,1,17,17,4622.0,0.4993
nr,1.5,10,1,18,18,5336.0,0.4953
nr,1.5,10,1,19,19,4616.0,0.4947
nr,1.5,10,1,20,20,5079.0,0.4984
nr,1.5,10,1,21,21,5633.0,0.5044
nr,1.5,10,1,22,22,5162.0,0.4992
nr,1.5,10,1,23,23,5722.0,0.5014
nr,1.5,10,1,24,24,5824.0,0.5072
nr,1.5,10,1,25,25,4828.0,0.4993
nr,1.5,10,1,26,26,5737.0,0.5087
nr,1.5,10,1,27,27,4758.0,0.5062
nr,1.5,10,1,28,28,5138.0,0.4939
nr,1.5,10,1,29,29,5095.0,0.5098
nr,1.5,10,3,0,0,119495.0,0.4935
nr,1.5,10,3,1,1,121020.0,0.4952
nr,1.5,10,3,2,2,121867.0,0.4842
nr,1.5,10,3,3,3,118101.0,0.4775
nr,1.5,10,3,4,4,122015.0,0.4793
nr,1.5,10,3,5,5,117352.0,0.4932
nr,1.5,10,3,6,6,122806.0,0.4801
nr,1.5,10,3,7,7,121794.0,0.4872
nr,1.5,10,3,8,8,118996.0,0.4829
nr,1.5,10,3,9,9,122380.0,0.4802
nr,1.5,10,3,10,10,118337.0,0.4789
nr,1.5,10,3,11,11,117256.0,0.4755
nr,1.5,10,3,12,12,123653.0,0.4764
nr,1.5,10,3,13,13,115730.0,0.4748
nr,1.5,10,3,14,14,118025.0,0.4757
nr,1.5,10,3,15,15,119569.0,0.4766
nr,1.5,10,3,16,16,124247.0,0.481
nr,1.5,10,3,17,17,124438.0,0.4848
nr,1.5,10,3,18,18,117997.0,0.4758
nr,1.5,10,3,19,19,116419.0,0.4823
nr,1.5,10,3,20,20,118373.0,0.4764
nr,1.5,10,3,21,21,115560.0,0.4781
nr,1.5,10,3,22,22,123668.0,0.4834
nr,1.5,10,3,23,23,118919.0,0.4735
nr,1.5,10,3,24,24,120220.0,0.482
nr,1.5,10,3,25,25,114235.0,0.48
nr,1.5,10,3,26,26,120531.0,0.4828
nr,1.5,10,3,27,27,120017.0,0.4765
nr,1.5,10,3,28,28,114432.0,0.4807
nr,1.5,10,3,29,29,121730.0,0.4799
nr,1.5,10,5,0,0,40531.0,0.4251
nr,1.5,10,5,1,1,43426.0,0.4234
nr,1.5,10,5,2,2,45082.0,0.4242
nr,1.5,10,5,3,3,40870.0,0.4187
nr,1.5,10,5,4,4,45455.0,0.4218
nr,1.5,10,5,5,5,39221.0,0.4199
nr,1.5,10,5,6,6,41728.0,0.4211
nr,1.5,10,5,7,7,43578.0,0.4213
nr,1.5,10,5,8,8,41979.0,0.4209
nr,1.5,10,5,9,9,44764.0,0.4228
nr,1.5,10,5,10,10,39858.0,0.4172
nr,1.5,10,5,11,11,39757.0,0.4216
nr,1.5,10,5,12,12,44522.0,0.4193
nr,1.5,10,5,13,13,42823.0,0.4191
nr,1.5,10,5,14,14,40352.0,0.4181
nr,1.5,10,5,15,15,40792.0,0.4182
nr,1.5,10,5,16,16,40512.0,0.4196
nr,1.5,10,5,17,17,45074.0,0.4163
nr,1.5,10,5,18,18,39244.0,0.4203
nr,1.5,10,5,19,19,43755.0,0.4207
nr,1.5,10,5,20,20,41381.0,0.4175
nr,1.5,10,5,21,21,41288.0,0.4205
nr,1.5,10,5,22,22,40187.0,0.4211
nr,1.5,10,5,23,23,42272.0,0.4285
nr,1.5,10,5,24,24,44258.0,0.4165
nr,1.5,10,5,25,25,38946.0,0.4212
nr,1.5,10,5,26,26,42150.0,0.4207
nr,1.5,10,5,27,27,43274.0,0.4154
nr,1.5,10,5,28,28,44974.0,0.4217
nr,1.5,10,5,29,29,39711.0,0.4263
nr,1.5,15,1,0,0,2214.0,0.5071
nr,1.5,15,1,1,1,2650.0,0.4945
nr,1.5,15,1,2,2,3035.0,0.4947
nr,1.5,15,1,3,3,2468.0,0.4904
nr,1.5,15,1,4,4,2279.0,0.4815
nr,1.5,15,1,5,5,2528.0,0.4906
nr,1.5,15,1,6,6,3046.0,0.4946
nr,1.5,15,1,7,7,2497.0,0.4902
nr,1.5,15,1,8,8,2571.0,0.4913
nr,1.5,15,1,9,9,2084.0,0.4871
nr,1.5,15,1,10,10,2669.0,0.4966
nr,1.5,15,1,11,11,3140.0,0.4921
nr,1.5,15,1,12,12,2607.0,0.4887
nr,1.5,15,1,13,13,2372.0,0.4925
nr,1.5,15,1,14,14,2425.0,0.4932
nr,1.5,15,1,15,15,3067.0,0.4899
nr,1.5,15,1,16,16,2246.0,0.4915
nr,1.5,15,1,17,17,2635.0,0.4927
nr,1.5,15,1,18,18,2689.0,0.4869
nr,1.5,15,1,19,19,2929.0,0.4915
nr,1.5,15,1,20,20,2692.0,0.5005
nr,1.5,15,1,21,21,2663.0,0.4913
nr,1.5,15,1,22,22,2304.0,0.4882
nr,1.5,15,1,23,23,2616.0,0.4901
nr,1.5,15,1,24,24,2333.0,0.4892
nr,1.5,15,1,25,25,2639.0,0.4897
nr,1.5,15,1,26,26,2133.0,0.4877
nr,1.5,15,1,27,27,2785.0,0.4896
nr,1.5,15,1,28,28,2553.0,0.4843
nr,1.5,15,1,29,29,3144.0,0.491
nr,1.5,15,3,0,0,85514.0,0.5056
nr,1.5,15,3,1,1,85467.0,0.5064
nr,1.5,15,3,2,2,85857.0,0.5049
nr,1.5,15,3,3,3,85609.0,0.5057
nr,1.5,15,3,4,4,90147.0,0.5034
nr,1.5,15,3,5,5,85815.0,0.5028
nr,1.5,15,3,6,6,85850.0,0.5019
nr,1.5,15,3,7,7,89352.0,0.5
nr,1.5,15,3,8,8,84207.0,0.4978
nr,1.5,15,3,9,9,87262.0,0.5057
nr,1.5,15,3,10,10,84847.0,0.501
nr,1.5,15,3,11,11,88431.0,0.5013
nr,1.5,15,3,12,12,88341.0,0.5009
nr,1.5,15,3,13,13,90345.0,0.4976
nr,1.5,15,3,14,14,90788.0,0.4926
nr,1.5,15,3,15,15,86326.0,0.4964
nr,1.5,15,3,16,16,86249.0,0.4914
nr,1.5,15,3,17,17,84624.0,0.4943
nr,1.5,15,3,18,18,88684.0,0.4942
nr,1.5,15,3,19,19,87694.0,0.4949
nr,1.5,15,3,20,20,85333.0,0.4942
nr,1.5,15,3,21,21,86665.0,0.4942
nr,1.5,15,3,22,22,86983.0,0.4993
nr,1.5,15,3,23,23,85801.0,0.4955
nr,1.5,15,3,24,24,82504.0,0.4963
nr,1.5,15,3,25,25,85177.0,0.4971
nr,1.5,15,3,26,26,87987.0,0.4968
nr,1.5,15,3,27,27,86091.0,0.5029
nr,1.5,15,3,28,28,87666.0,0.5001
nr,1.5,15,3,29,29,87039.0,0.5091
nr,1.5,15,5,0,0,283828.0,0.5177
nr,1.5,15,5,1,1,275286.0,0.5207
nr,1.5,15,5,2,2,281575.0,0.5311
nr,1.5,15,5,3,3,286957.0,0.5222
nr,1.5,15,5,4,4,270327.0,0.5184
nr,1.5,15,5,5,5,280048.0,0.5168
nr,1.5,15,5,6,6,273651.0,0.51
nr,1.5,15,5,7,7,287605.0,0.5092
nr,1.5,15,5,8,8,279133.0,0.5082
nr,1.5,15,5,9,9,275816.0,0.5083
nr,1.5,15,5,10,10,279636.0,0.5016
nr,1.5,15,5,11,11,278461.0,0.5031
nr,1.5,15,5,12,12,275731.0,0.5026
nr,1.5,15,5,13,13,275483.0,0.5015
nr,1.5,15,5,14,14,279228.0,0.5103
nr,1.5,15,5,15,15,284904.0,0.5103
nr,1.5,15,5,16,16,287523.0,0.5071
nr,1.5,15,5,17,17,287681.0,0.5075
nr,1.5,15,5,18,18,275946.0,0.5129
nr,1.5,15,5,19,19,274168.0,0.5168
nr,1.5,15,5,20,20,277843.0,0.5135
nr,1.5,15,5,21,21,273151.0,0.5211
nr,1.5,15,5,22,22,278951.0,0.5201
nr,1.5,15,5,23,23,281575.0,0.5182
nr,1.5,15,5,24,24,275579.0,0.519
nr,1.5,15,5,25,25,276523.0,0.5205
nr,1.5,15,5,26,26,276495.0,0.5252
nr,1.5,15,5,27,27,268429.0,0.5213
nr,1.5,15,5,28,28,277417.0,0.5176
nr,1.5,15,5,29,29,286471.0,0.5134
nr,1.5,20,1,0,0,925.0,0.4592
nr,1.5,20,1,1,1,1105.0,0.4505
nr,1.5,20,1,2,2,1430.0,0.4534
nr,1.5,20,1,3,3,1390.0,0.4526
nr,1.5,20,1,4,4,1937.0,0.453
nr,1.5,20,1,5,5,1012.0,0.4527
nr,1.5,20,1,6,6,1399.0,0.4568
nr,1.5,20,1,7,7,1401.0,0.4452
nr,1.5,20,1,8,8,1309.0,0.4485
nr,1.5,20,1,9,9,1306.0,0.4508
nr,1.5,20,1,10,10,1446.0,0.4547
nr,1.5,20,1,11,11,1488.0,0.4538
nr,1.5,20,1,12,12,1071.0,0.4519
nr,1.5,20,1,13,13,1089.0,0.4613
nr,1.5,20,1,14,14,1337.0,0.4569
nr,1.5,20,1,15,15,1208.0,0.453
nr,1.5,20,1,16,16,1340.0,0.4492
nr,1.5,20,1,17,17,1558.0,0.4539
nr,1.5,20,1,18,18,1557.0,0.4568
nr,1.5,20,1,19,19,1299.0,0.4561
nr,1.5,20,1,20,20,937.0,0.4549
nr,1.5,20,1,21,21,1259.0,0.4545
nr,1.5,20,1,22,22,1161.0,0.4587
nr,1.5,20,1,23,23,1371.0,0.4521
nr,1.5,20,1,24,24,1205.0,0.4502
nr,1.5,20,1,25,25,1483.0,0.4576
nr,1.5,20,1,26,26,1438.0,0.4506
nr,1.5,20,1,27,27,1257.0,0.4567
nr,1.5,20,1,28,28,1307.0,0.453
nr,1.5,20,1,29,29,1298.0,0.4596
nr,1.5,20,3,0,0,2895.0,0.4254
nr,1.5,20,3,1,1,2920.0,0.4277
nr,1.5,20,3,2,2,2876.0,0.4225
nr,1.5,20,3,3,3,2734.0,0.4226
nr,1.5,20,3,4,4,2965.0,0.4302
nr,1.5,20,3,5,5,3044.0,0.4218
nr,1.5,20,3,6,6,2572.0,0.4219
nr,1.5,20,3,7,7,2554.0,0.4243
nr,1.5,20,3,8,8,2754.0,0.4263
nr,1.5,20,3,9,9,2788.0,0.4266
nr,1.5,20,3,10,10,3117.0,0.4254
nr,1.5,20,3,11,11,3012.0,0.4246
nr,1.5,20,3,12,12,2605.0,0.4255
nr,1.5,20,3,13,13,2839.0,0.4269
nr,1.5,20,3,14,14,2517.0,0.4259
nr,1.5,20,3,15,15,2801.0,0.4232
nr,1.5,20,3,16,16,2746.0,0.4252
nr,1.5,20,3,17,17,2939.0,0.4252
nr,1.5,20,3,18,18,2555.0,0.4302
nr,1.5,20,3,19,19,2767.0,0.4204
nr,1.5,20,3,20,20,3277.0,0.4256
nr,1.5,20,3,21,21,2841.0,0.4261
nr,1.5,20,3,22,22,3206.0,0.4285
nr,1.5,20,3,23,23,2964.0,0.4312
nr,1.5,20,3,24,24,2654.0,0.4248
nr,1.5,20,3,25,25,2336.0,0.431
nr,1.5,20,3,26,26,3034.0,0.4264
nr,1.5,20,3,27,27,2420.0,0.4306
nr,1.5,20,3,28,28,3164.0,0.4253
nr,1.5,20,3,29,29,3148.0,0.425
nr,1.5,20,5,0,0,8038.0,0.4284
nr,1.5,20,5,1,1,8603.0,0.4235
nr,1.5,20,5,2,2,7642.0,0.4232
nr,1.5,20,5,3,3,7867.0,0.4243
nr,1.5,20,5,4,4,9023.0,0.4238
nr,1.5,20,5,5,5,8364.0,0.429
nr,1.5,20,5,6,6,9292.0,0.4287
nr,1.5,20,5,7,7,9122.0,0.4226
nr,1.5,20,5,8,8,8833.0,0.4259
nr,1.5,20,5,9,9,8396.0,0.4267
nr,1.5,20,5,10,10,10119.0,0.4259
nr,1.5,20,5,11,11,10487.0,0.4247
nr,1.5,20,5,12,12,9752.0,0.4249
nr,1.5,20,5,13,13,9594.0,0.4262
nr,1.5,20,5,14,14,7676.0,0.4209
nr,1.5,20,5,15,15,9253.0,0.4291
nr,1.5,20,5,16,16,7731.0,0.4246
nr,1.5,20,5,17,17,8381.0,0.4265
nr,1.5,20,5,18,18,10783.0,0.4235
nr,1.5,20,5,19,19,8741.0,0.4222
nr,1.5,20,5,20,20,8519.0,0.4232
nr,1.5,20,5,21,21,6923.0,0.4241
nr,1.5,20,5,22,22,9368.0,0.4267
nr,1.5,20,5,23,23,7758.0,0.4242
nr,1.5,20,5,24,24,8407.0,0.4251
nr,1.5,20,5,25,25,8660.0,0.4235
nr,1.5,20,5,26,26,9258.0,0.4272
nr,1.5,20,5,27,27,8292.0,0.4247
nr,1.5,20,5,28,28,8514.0,0.4251
nr,1.5,20,5,29,29,7515.0,0.4243
ns,0.5,10,1,0,0,6276.0,0.4514
ns,0.5,10,1,1,1,6371.0,0.4388
ns,0.5,10,1,2,2,6736.0,0.4457
ns,0.5,10,1,3,3,6797.0,0.4562
ns,0.5,10,1,4,4,6652.0,0.4571
ns,0.5,10,1,5,5,6049.0,0.4567
ns,0.5,10,1,6,6,6401.0,0.4509
ns,0.5,10,1,7,7,6140.0,0.4524
ns,0.5,10,1,8,8,6364.0,0.4728
ns,0.5,10,1,9,9,6802.0,0.4605
ns,0.5,10,1,10,10,6107.0,0.4691
ns,0.5,10,1,11,11,7036.0,0.4696
ns,0.5,10,1,12,12,6418.0,0.4865
ns,0.5,10,1,13,13,7158.0,0.4588
ns,0.5,10,1,14,14,6548.0,0.4714
ns,0.5,10,1,15,15,6950.0,0.4813
ns,0.5,10,1,16,16,6502.0,0.4626
ns,0.5,10,1,17,17,6402.0,0.4671
ns,0.5,10,1,18,18,6373.0,0.4577
ns,0.5,10,1,19,19,6366.0,0.4735
ns,0.5,10,1,20,20,6805.0,0.461
ns,0.5,10,1,21,21,6807.0,0.4725
ns,0.5,10,1,22,22,6541.0,0.4795
ns,0.5,10,1,23,23,7286.0,0.462
ns,0.5,10,1,24,24,6852.0,0.4665
ns,0.5,10,1,25,25,6497.0,0.469
ns,0.5,10,1,26,26,6464.0,0.4544
ns,0.5,10,1,27,27,6712.0,0.4695
ns,0.5,10,1,28,28,6481.0,0.4583
ns,0.5,10,1,29,29,6526.0,0.4627
ns,0.5,10,3,0,0,94164.0,0.4919
ns,0.5,10,3,1,1,96454.0,0.5047
ns,0.5,10,3,2,2,95386.0,0.516
ns,0.5,10,3,3,3,92977.0,0.5078
ns,0.5,10,3,4,4,97680.0,0.502
ns,0.5,10,3,5,5,89127.0,0.5117
ns,0.5,10,3,6,6,92669.0,0.5085
ns,0.5,10,3,7,7,93672.0,0.5111
ns,0.5,10,3,8,8,92972.0,0.4863
ns,0.5,10,3,9,9,91600.0,0.4835
ns,0.5,10,3,10,10,89022.0,0.4891
ns,0.5,10,3,11,11,89476.0,0.5004
ns,0.5,10,3,12,12,94069.0,0.4887
ns,0.5,10,3,13,13,100905.0,0.4882
ns,0.5,10,3,14,14,92679.0,0.4871
ns,0.5,10,3,15,15,92186.0,0.4866
ns,0.5,10,3,16,16,92529.0,0.49
ns,0.5,10,3,17,17,99498.0,0.4918
ns,0.5,10,3,18,18,92457.0,0.4818
ns,0.5,10,3,19,19,94177.0,0.4848
ns,0.5,10,3,20,20,95453.0,0.482
ns,0.5,10,3,21,21,100451.0,0.4794
ns,0.5,10,3,22,22,95344.0,0.4773
ns,0.5,10,3,23,23,91743.0,0.4806
ns,0.5,10,3,24,24,91359.0,0.4801
ns,0.5,10,3,25,25,91631.0,0.4756
ns,0.5,10,3,26,26,94942.0,0.4831
ns,0.5,10,3,27,27,92514.0,0.4756
ns,0.5,10,3,28,28,94382.0,0.4759
ns,0.5,10,3,29,29,96191.0,0.4883
ns,0.5,10,5,0,0,324040.0,0.496
ns,0.5,10,5,1,1,325161.0,0.4854
ns,0.5,10,5,2,2,313015.0,0.4886
ns,0.5,10,5,3,3,319752.0,0.4884
ns,0.5,10,5,4,4,319631.0,0.4835
ns,0.5,10,5,5,5,329570.0,0.4876
ns,0.5,10,5,6,6,323371.0,0.4904
ns,0.5,10,5,7,7,325300.0,0.4867
ns,0.5,10,5,8,8,324170.0,0.4887
ns,0.5,10,5,9,9,318326.0,0.4885
ns,0.5,10,5,10,10,318664.0,0.4884
ns,0.5,10,5,11,11,319684.0,0.4933
ns,0.5,10,5,12,12,324184.0,0.4987
ns,0.5,10,5,13,13,312916.0,0.4869
ns,0.5,10,5,14,14,310360.0,0.4942
ns,0.5,10,5,15,15,321414.0,0.4932
ns,0.5,10,5,16,16,324210.0,0.486
ns,0.5,10,5,17,17,318267.0,0.4915
ns,0.5,10,5,18,18,314466.0,0.4943
ns,0.5,10,5,19,19,324679.0,0.4828
ns,0.5,10,5,20,20,328171.0,0.489
ns,0.5,10,5,21,21,324828.0,0.4909
ns,0.5,10,5,22,22,326618.0,0.4874
ns,0.5,10,5,23,23,321291.0,0.4883
ns,0.5,10,5,24,24,322706.0,0.4971
ns,0.5,10,5,25,25,312365.0,0.4858
ns,0.5,10,5,26,26,328000.0,0.4912
ns,0.5,10,5,27,27,312055.0,0.4853
ns,0.5,10,5,28,28,337350.0,0.4861
ns,0.5,10,5,29,29,321147.0,0.4834
ns,0.5,15,1,0,0,7553.0,0.4701
ns,0.5,15,1,1,1,7545.0,0.4542
ns,0.5,15,1,2,2,7183.0,0.4603
ns,0.5,15,1,3,3,7519.0,0.4654
ns,0.5,15,1,4,4,7819.0,0.46
ns,0.5,15,1,5,5,7345.0,0.4602
ns,0.5,15,1,6,6,7354.0,0.4677
ns,0.5,15,1,7,7,8546.0,0.46
ns,0.5,15,1,8,8,7825.0,0.4647
ns,0.5,15,1,9,9,7888.0,0.4615
ns,0.5,15,1,10,10,7701.0,0.4647
ns,0.5,15,1,11,11,7878.0,0.4632
ns,0.5,15,1,12,12,7967.0,0.4657
ns,0.5,15,1,13,13,8241.0,0.4574
ns,0.5,15,1,14,14,8069.0,0.4597
ns,0.5,15,1,15,15,7558.0,0.4623
ns,0.5,15,1,16,16,7442.0,0.4629
ns,0.5,15,1,17,17,8385.0,0.4683
ns,0.5,15,1,18,18,7997.0,0.4654
ns,0.5,15,1,19,19,7080.0,0.4674
ns,0.5,15,1,20,20,8109.0,0.4618
ns,0.5,15,1,21,21,8561.0,0.4597
ns,0.5,15,1,22,22,7347.0,0.4668
ns,0.5,15,1,23,23,7504.0,0.4575
ns,0.5,15,1,24,24,7737.0,0.4661
ns,0.5,15,1,25,25,7396.0,0.4646
ns,0.5,15,1,26,26,7432.0,0.4829
ns,0.5,15,1,27,27,7998.0,0.4686
ns,0.5,15,1,28,28,7980.0,0.448
ns,0.5,15,1,29,29,7745.0,0.4673
ns,0.5,15,3,0,0,38395.0,0.4695
ns,0.5,15,3,1,1,37930.0,0.4654
ns,0.5,15,3,2,2,40215.0,0.4645
ns,0.5,15,3,3,3,38479.0,0.4589
ns,0.5,15,3,4,4,38694.0,0.4633
ns,0.5,15,3,5,5,36345.0,0.4662
ns,0.5,15,3,6,6,39042.0,0.4623
ns,0.5,15,3,7,7,35706.0,0.462
ns,0.5,15,3,8,8,37759.0,0.4652
ns,0.5,15,3,9,9,38067.0,0.4687
ns,0.5,15,3,10,10,40269.0,0.4595
ns,0.5,15,3,11,11,39783.0,0.4561
ns,0.5,15,3,12,12,37932.0,0.4624
ns,0.5,15,3,13,13,40016.0,0.4654
ns,0.5,15,3,14,14,35952.0,0.4626
ns,0.5,15,3,15,15,38650.0,0.4676
ns,0.5,15,3,16,16,39079.0,0.4691
ns,0.5,15,3,17,17,39722.0,0.4628
ns,0.5,15,3,18,18,39336.0,0.4613
ns,0.5,15,3,19,19,38858.0,0.4607
ns,0.5,15,3,20,20,37813.0,0.4617
ns,0.5,15,3,21,21,37522.0,0.4713
ns,0.5,15,3,22,22,39527.0,0.465
ns,0.5,15,3,23,23,41720.0,0.4594
ns,0.5,15,3,24,24,36891.0,0.4641
ns,0.5,15,3,25,25,37949.0,0.4658
ns,0.5,15,3,26,26,39284.0,0.4674
ns,0.5,15,3,27,27,38479.0,0.4686
ns,0.5,15,3,28,28,40548.0,0.4642
ns,0.5,15,3,29,29,38984.0,0.4647
ns,0.5,15,5,0,0,128083.0,0.4986
ns,0.5,15,5,1,1,136212.0,0.4905
ns,0.5,15,5,2,2,132231.0,0.4924
ns,0.5,15,5,3,3,121774.0,0.4909
ns,0.5,15,5,4,4,131726.0,0.4955
ns,0.5,15,5,5,5,124776.0,0.4995
ns,0.5,15,5,6,6,132276.0,0.493
ns,0.5,15,5,7,7,131381.0,0.4996
ns,0.5,15,5,8,8,138080.0,0.4986
ns,0.5,15,5,9,9,128649.0,0.4971
ns,0.5,15,5,10,10,132745.0,0.5085
ns,0.5,15,5,11,11,128347.0,0.5052
ns,0.5,15,5,12,12,125086.0,0.5006
ns,0.5,15,5,13,13,135119.0,0.4998
ns,0.5,15,5,14,14,134338.0,0.5096
ns,0.5,15,5,15,15,121959.0,0.5001
ns,0.5,15,5,16,16,127931.0,0.4981
ns,0.5,15,5,17,17,129807.0,0.5037
ns,0.5,15,5,18,18,127463.0,0.4974
ns,0.5,15,5,19,19,127577.0,0.5015
ns,0.5,15,5,20,20,124327.0,0.5011
ns,0.5,15,5,21,21,131428.0,0.5021
ns,0.5,15,5,22,22,131027.0,0.4965
ns,0.5,15,5,23,23,133229.0,0.498
ns,0.5,15,5,24,24,129416.0,0.5009
ns,0.5,15,5,25,25,126362.0,0.4993
ns,0.5,15,5,26,26,125499.0,0.4973
ns,0.5,15,5,27,27,130296.0,0.4935
ns,0.5,15,5,28,28,132565.0,0.4943
ns,0.5,15,5,29,29,128492.0,0.495
ns,0.5,20,1,0,0,9501.0,0.4987
ns,0.5,20,1,1,1,8305.0,0.4995
ns,0.5,20,1,2,2,8516.0,0.5017
ns,0.5,20,1,3,3,8429.0,0.4991
ns,0.5,20,1,4,4,8707.0,0.4975
ns,0.5,20,1,5,5,9141.0,0.4971
ns,0.5,20,1,6,6,8626.0,0.4919
ns,0.5,20,1,7,7,9129.0,0.498
ns,0.5,20,1,8,8,8094.0,0.4954
ns,0.5,20,1,9,9,8878.0,0.5023
ns,0.5,20,1,10,10,8550.0,0.4964
ns,0.5,20,1,11,11,8442.0,0.491
ns,0.5,20,1,12,12,8064.0,0.4824
