DDT,M,S,run,event_index,n_kind_tasks,n_vars,solve_time_ms
0.5,15,5,0,1,78,694,6.305
0.5,15,5,0,2,78,694,5.5279
0.5,15,5,0,3,78,694,6.3734
0.5,15,5,0,4,78,694,5.3937
0.5,15,5,1,0,78,694,6.4005
0.5,15,5,1,1,78,694,5.8058
0.5,15,5,1,2,78,694,5.8675
0.5,15,5,1,3,78,694,6.3738
0.5,15,5,1,4,78,694,5.6711
0.5,15,5,2,0,78,694,6.4769
0.5,15,5,2,1,78,694,6.5725
0.5,15,5,2,2,78,694,5.4227
0.5,15,5,2,3,78,694,5.7507
0.5,15,5,2,4,78,694,5.5627
0.5,15,5,3,0,78,694,6.4195
0.5,15,5,3,1,78,694,5.7866
0.5,15,5,3,2,78,694,5.5029
0.5,15,5,3,3,78,694,6.3689
0.5,15,5,3,4,78,694,6.0488
0.5,15,5,4,0,78,694,6.3529
0.5,15,5,4,1,78,694,5.9106
0.5,15,5,4,2,78,694,5.4917
0.5,15,5,4,3,78,694,5.641
0.5,15,5,4,4,78,694,5.9617
0.5,15,5,5,0,78,694,6.4949
0.5,15,5,5,1,78,694,5.5332
0.5,15,5,5,2,78,694,5.4682
0.5,15,5,5,3,78,694,6.0468
0.5,15,5,5,4,78,694,6.2158
0.5,15,5,6,0,78,694,6.6169
0.5,15,5,6,1,78,694,5.6001
0.5,15,5,6,2,78,694,5.3978
0.5,15,5,6,3,78,694,5.5779
0.5,15,5,6,4,78,694,5.7723
0.5,15,5,7,0,78,694,6.4803
0.5,15,5,7,1,78,694,5.8138
0.5,15,5,7,2,78,694,5.8042
0.5,15,5,7,3,78,694,5.8637
0.5,15,5,7,4,78,694,6.4549
0.5,15,5,8,0,78,694,6.6984
0.5,15,5,8,1,78,694,5.651
0.5,15,5,8,2,78,694,5.3538
0.5,15,5,8,3,78,694,5.7922
0.5,15,5,8,4,78,694,5.6082
0.5,15,5,9,0,78,694,6.5991
0.5,15,5,9,1,78,694,5.9243
0.5,15,5,9,2,78,694,5.4846
0.5,15,5,9,3,78,694,5.6189
0.5,15,5,9,4,78,694,5.5769
0.5,20,1,0,0,94,888,6.5819
0.5,20,1,1,0,94,888,6.7207
0.5,20,1,2,0,94,888,6.8706
0.5,20,1,3,0,94,888,6.6335
0.5,20,1,4,0,94,888,6.5322
0.5,20,1,5,0,94,888,6.6901
0.5,20,1,6,0,94,888,6.7214
0.5,20,1,7,0,94,888,6.8017
0.5,20,1,8,0,94,888,6.6403
0.5,20,1,9,0,94,888,6.767
0.5,20,3,0,0,100,1112,8.1343
0.5,20,3,0,1,100,1112,7.6882
0.5,20,3,0,2,100,1112,8.8153
0.5,20,3,1,0,100,1112,8.2787
0.5,20,3,1,1,100,1112,10.2447
0.5,20,3,1,2,100,1112,10.428
0.5,20,3,2,0,100,1112,8.1671
0.5,20,3,2,1,100,1112,8.0462
0.5,20,3,2,2,100,1112,10.832
0.5,20,3,3,0,100,1112,8.1172
0.5,20,3,3,1,100,1112,7.9443
0.5,20,3,3,2,100,1112,7.2711
0.5,20,3,4,0,100,1112,8.1066
0.5,20,3,4,1,100,1112,8.8499
0.5,20,3,4,2,100,1112,8.491
0.5,20,3,5,0,100,1112,8.3272
0.5,20,3,5,1,100,1112,59.4768
0.5,20,3,5,2,100,1112,9.5512
0.5,20,3,6,0,100,1112,8.1206
0.5,20,3,6,1,100,1112,8.1294
0.5,20,3,6,2,100,1112,8.4194
0.5,20,3,7,0,100,1112,8.0636
0.5,20,3,7,1,100,1112,8.0479
0.5,20,3,7,2,100,1112,10.0731
0.5,20,3,8,0,100,1112,8.2194
0.5,20,3,8,1,100,1112,7.8946
0.5,20,3,8,2,100,1112,9.7291
0.5,20,3,9,0,100,1112,8.0167
0.5,20,3,9,1,100,1112,8.9316
0.5,20,3,9,2,100,1112,9.2441
0.5,20,5,0,0,39,403,2.9475
0.5,20,5,0,1,39,403,3.1264
0.5,20,5,0,2,39,403,3.0051
0.5,20,5,0,3,39,403,2.9848
0.5,20,5,0,4,39,403,3.1844
0.5,20,5,1,0,39,403,2.8616
0.5,20,5,1,1,39,403,2.885
0.5,20,5,1,2,39,403,3.2003
0.5,20,5,1,3,39,403,3.1075
0.5,20,5,1,4,39,403,2.9085
0.5,20,5,2,0,39,403,2.8826
0.5,20,5,2,1,39,403,3.1608
0.5,20,5,2,2,39,403,2.7721
0.5,20,5,2,3,39,403,3.2718
0.5,20,5,2,4,39,403,3.1188
0.5,20,5,3,0,39,403,2.922
0.5,20,5,3,1,39,403,3.094
0.5,20,5,3,2,39,403,2.9918
0.5,20,5,3,3,39,403,3.0873
0.5,20,5,3,4,39,403,3.165
0.5,20,5,4,0,39,403,2.9008
0.5,20,5,4,1,39,403,3.0788
